source,station,comp,lat,lon,dist,max_amp,max_amp_anti,max_amp_causal,snr,snr_anticausal,snr_causal,noise,noise_anticausal,noise_causal
SVD,NO.B4085,ZZ,33.94021,-117.64714,53.947969019434964,4.4481509504682825e-11,4.4481509504682825e-11,1.1384629823236548e-11,11.343226457336533,9.070442936167924,5.460046467463103,4.2962758946175746e-10,4.0201477584254385e-10,1.5153872650576708e-10
SVD,NO.B4086,ZZ,33.93687,-117.6467,54.03856762051147,4.184058916623165e-11,4.184058916623165e-11,1.0040050340378044e-11,11.28949955667448,9.154773986444756,4.664946308187867,4.0604048296692795e-10,3.7471398476206694e-10,1.563915069041462e-10
SVD,NO.B4087,ZZ,33.9345,-117.6471,54.16588066690189,2.5126996378620537e-11,2.5126996378620537e-11,7.739184777734235e-12,8.824107634952176,7.417360148366886,3.958870125443308,3.119716531856787e-10,2.7776238937955206e-10,1.4203650037074088e-10
SVD,NO.B4088,ZZ,33.93237,-117.65187,54.66206418253586,3.7325527186360533e-11,3.7325527186360533e-11,8.576278336494297e-12,9.865071733634379,8.173865118800494,3.5089570180974023,4.145262009926734e-10,3.7461813840317025e-10,1.7746329673699127e-10
SVD,NO.B4089,ZZ,33.92878,-117.65048,54.68523785747992,3.8485690679993226e-11,3.8485690679993226e-11,1.0871587465358727e-11,9.968839804682238,8.109509249231223,4.775708891586036,4.2296082142661016e-10,3.893268841783216e-10,1.6528894009543595e-10
SVD,NO.B4090,ZZ,33.9268,-117.65257,54.94518363708552,3.224644988955667e-11,3.224644988955667e-11,7.171781443133628e-12,7.853080774344148,6.938783116267748,2.1812914486967747,4.498697223406611e-10,3.8136011690659833e-10,2.3863618399532207e-10
SVD,NO.B4091,ZZ,33.92513,-117.65179,54.94605747654898,2.202128375449214e-11,2.202128375449214e-11,1.2019879909222945e-11,4.572695244569284,4.333260319449196,2.699267439373497,5.276130423802522e-10,4.170276986514063e-10,3.2320801513461523e-10
SVD,NO.B4092,ZZ,33.9221,-117.65205,55.093123099596355,2.202453736208528e-11,2.202453736208528e-11,1.0366677411469481e-11,7.85264041643296,6.866796821778643,4.746089009175121,3.0728215195255597e-10,2.6324527148746303e-10,1.5850630255004244e-10
SVD,NO.B4093,ZZ,33.9186,-117.65212,55.245368012788596,2.473165044482347e-11,2.473165044482347e-11,1.330971809868403e-11,5.7979194080713885,5.394276128602493,3.485360880171643,4.673353369931671e-10,3.763453888101177e-10,2.7706761904610654e-10
SVD,NO.B4094,ZZ,33.9163,-117.65136,55.277844866807385,1.5097258877146123e-11,1.5097258877146123e-11,7.914372915729588e-12,4.944579938874524,4.463244650695262,3.0779855404120346,3.3451431348646995e-10,2.776598262031332e-10,1.8656057150472635e-10
SVD,NO.B4095,ZZ,33.91415,-117.64978,55.23522717250342,2.172249019252565e-11,2.172249019252565e-11,1.1151164045689408e-11,6.104251441018772,5.592822166984029,3.605264985101199,3.8987226615576677e-10,3.1879640255430645e-10,2.244309195183802e-10
SVD,NO.B4096,ZZ,33.91019,-117.6489,55.3326946961547,2.2908329666364623e-11,2.2908329666364623e-11,1.1335430456618765e-11,7.3307096667488985,6.193851755577852,5.197859353146112,3.42368494504266e-10,3.036201229445661e-10,1.5821190527973612e-10
SVD,NO.B4003,EE,34.15833,-117.64694,50.94038226570433,2.7894039779660966e-11,2.7894039779660966e-11,1.326722612828623e-11,7.255133397358927,5.805460272859164,6.353134960283523,4.212218763956982e-10,3.92704213090391e-10,1.523524537884758e-10
SVD,NO.B4004,EE,34.15667,-117.64889,51.09920551084327,1.8500014812075563e-11,1.8500014812075563e-11,9.953772722358041e-12,6.216238880524093,5.473605101757681,4.193225509367825,3.260538250175267e-10,2.7628373561226947e-10,1.7314269907994832e-10
SVD,NO.B4005,EE,34.15361,-117.64806,50.98808338662818,2.2465554535842166e-11,2.2465554535842166e-11,1.0229932753619577e-11,6.526697034215871,5.595144507826516,4.017474669203618,3.771104965100436e-10,3.2819255158549525e-10,1.8574707443686322e-10
SVD,NO.B4006,EE,34.15083,-117.64778,50.93250097838753,2.6675629922161176e-11,2.6675629922161176e-11,1.425810460329294e-11,6.903445765899638,5.602138119298098,6.243433485820256,4.2334427426879997e-10,3.891817366132058e-10,1.6660717404393577e-10
SVD,NO.B4007,EE,34.14889,-117.64833,50.96325659734187,3.001159228347622e-11,3.001159228347622e-11,1.5939570521592215e-11,7.500228977908479,6.046158525539969,7.002439038635753,4.383890675407976e-10,4.05726032021654e-10,1.6604626306922308e-10
SVD,NO.B4008,EE,34.14583,-117.64694,50.806198531953285,2.04252206803319e-11,2.04252206803319e-11,6.928327796894056e-12,6.857350315712422,5.9614560172178646,3.015879531656542,3.263287551051317e-10,2.799872460269143e-10,1.676233828280804e-10
SVD,NO.B4009,EE,34.14333,-117.64806,50.88684646510739,1.9323939353223276e-11,1.9323939353223276e-11,7.732716962771932e-12,6.9134973896501934,5.860782902179093,3.877960550502103,3.0622749688301415e-10,2.694633203768751e-10,1.4548126621220343e-10
SVD,NO.B4010,EE,34.14083,-117.6475,50.8145456927776,2.264950641007433e-11,2.264950641007433e-11,9.442977919559902e-12,7.575229234016672,6.365766955864427,4.567611007040543,3.275739146150219e-10,2.9078152074325384e-10,1.508336061043768e-10
SVD,NO.B4011,EE,34.1375,-117.64833,50.86556069920077,1.7745852049172087e-11,1.7745852049172087e-11,8.034038734492881e-12,8.467607688009512,7.046754534979313,5.758539799346927,2.296048449803021e-10,2.058089347169032e-10,1.0178932767791543e-10
SVD,NO.B4012,EE,34.13583,-117.64694,50.72589143224016,1.212421889911016e-11,1.212421889911016e-11,4.848748735646611e-12,7.455136820973933,6.2165663031928196,4.440739725867573,1.7817348888150432e-10,1.593653998550909e-10,7.96772330671349e-11
SVD,NO.B4013,EE,34.1325,-117.6475,50.756085999810416,9.720903263695608e-12,9.720903263695608e-12,7.23663935688215e-12,5.656428016578665,5.174080938596553,4.84485277965254,1.882822910192978e-10,1.5353123876457774e-10,1.0898798023126115e-10
SVD,NO.B4014,EE,34.13139,-117.6475,50.74956121563467,1.305003005317289e-11,1.305003005317289e-11,9.420368955382302e-12,6.664031248015559,5.931343934067451,5.871930141548372,2.1454549777217755e-10,1.797967448832444e-10,1.1705939152285466e-10
SVD,NO.B4015,EE,34.12667,-117.6475,50.725144311075105,2.4800788508300878e-11,2.4800788508300878e-11,1.1621692369017576e-11,8.713726273762067,7.087202455386141,6.818705526438698,3.11822083253661e-10,2.859443349991558e-10,1.2437382717655532e-10
SVD,NO.B4016,EE,34.12472,-117.64722,50.69081917029235,2.4557245404609348e-11,2.4557245404609348e-11,1.0093764312540253e-11,8.734876807041069,7.10610011311889,5.987940123947485,3.080124205728319e-10,2.8238352174082024e-10,1.2300893413239048e-10
SVD,NO.B4017,EE,34.12167,-117.6475,50.705163075163654,1.4395132379537963e-11,1.4395132379537963e-11,8.77070863027162e-12,4.897150952916495,4.463616506721612,3.457377570130046,3.2204545069650995e-10,2.6352372073786177e-10,1.8511758674634797e-10
SVD,NO.B4018,EE,34.11833,-117.6475,50.69519169734854,1.082188177548118e-11,1.082188177548118e-11,6.445905156027453e-12,4.870937085927503,4.568407221254342,3.187256204408965,2.4340827264468567e-10,1.9356602859786417e-10,1.4757974035998456e-10
